Ep (Global): 1145/100000 (Sesión: 550) | Steps: 14 | Score: 0 | Total Reward Ep: -64.0 | Epsilon: 0.5640 | Avg Score (100ep): 0.70 | Memory: 18527
Ep (Global): 1155/100000 (Sesión: 560) | Steps: 36 | Score: 2 | Total Reward Ep: -46.0 | Epsilon: 0.5612 | Avg Score (100ep): 0.73 | Memory: 18781
Ep (Global): 1165/100000 (Sesión: 570) | Steps: 7 | Score: 0 | Total Reward Ep: -57.0 | Epsilon: 0.5584 | Avg Score (100ep): 0.76 | Memory: 19009
Ep (Global): 1175/100000 (Sesión: 580) | Steps: 30 | Score: 1 | Total Reward Ep: -60.0 | Epsilon: 0.5556 | Avg Score (100ep): 0.79 | Memory: 19307
Ep (Global): 1185/100000 (Sesión: 590) | Steps: 34 | Score: 1 | Total Reward Ep: -64.0 | Epsilon: 0.5529 | Avg Score (100ep): 0.82 | Memory: 19504
Ep (Global): 1195/100000 (Sesión: 600) | Steps: 35 | Score: 2 | Total Reward Ep: -45.0 | Epsilon: 0.5501 | Avg Score (100ep): 0.79 | Memory: 19710
Ep (Global): 1205/100000 (Sesión: 610) | Steps: 22 | Score: 1 | Total Reward Ep: -52.0 | Epsilon: 0.5474 | Avg Score (100ep): 0.79 | Memory: 19953
Ep (Global): 1215/100000 (Sesión: 620) | Steps: 36 | Score: 1 | Total Reward Ep: -16.0 | Epsilon: 0.5446 | Avg Score (100ep): 0.85 | Memory: 20223
Ep (Global): 1225/100000 (Sesión: 630) | Steps: 10 | Score: 2 | Total Reward Ep: -20.0 | Epsilon: 0.5419 | Avg Score (100ep): 0.91 | Memory: 20360
Ep (Global): 1235/100000 (Sesión: 640) | Steps: 31 | Score: 1 | Total Reward Ep: -111.0 | Epsilon: 0.5392 | Avg Score (100ep): 0.93 | Memory: 20597
Ep (Global): 1245/100000 (Sesión: 650) | Steps: 8 | Score: 0 | Total Reward Ep: -58.0 | Epsilon: 0.5365 | Avg Score (100ep): 0.90 | Memory: 20758
Ep (Global): 1255/100000 (Sesión: 660) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.5338 | Avg Score (100ep): 0.86 | Memory: 20973
Ep (Global): 1265/100000 (Sesión: 670) | Steps: 16 | Score: 0 | Total Reward Ep: -66.0 | Epsilon: 0.5312 | Avg Score (100ep): 0.85 | Memory: 21151
Ep (Global): 1275/100000 (Sesión: 680) | Steps: 21 | Score: 2 | Total Reward Ep: -81.0 | Epsilon: 0.5285 | Avg Score (100ep): 0.82 | Memory: 21294
Ep (Global): 1285/100000 (Sesión: 690) | Steps: 42 | Score: 2 | Total Reward Ep: -2.0 | Epsilon: 0.5259 | Avg Score (100ep): 0.82 | Memory: 21491
Ep (Global): 1295/100000 (Sesión: 700) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.5233 | Avg Score (100ep): 0.81 | Memory: 21715
Ep (Global): 1305/100000 (Sesión: 710) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.5207 | Avg Score (100ep): 0.83 | Memory: 21954
Ep (Global): 1315/100000 (Sesión: 720) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.5181 | Avg Score (100ep): 0.77 | Memory: 22147
Ep (Global): 1325/100000 (Sesión: 730) | Steps: 11 | Score: 0 | Total Reward Ep: -61.0 | Epsilon: 0.5155 | Avg Score (100ep): 0.71 | Memory: 22296
Ep (Global): 1335/100000 (Sesión: 740) | Steps: 20 | Score: 0 | Total Reward Ep: -70.0 | Epsilon: 0.5129 | Avg Score (100ep): 0.72 | Memory: 22495
Ep (Global): 1345/100000 (Sesión: 750) | Steps: 33 | Score: 1 | Total Reward Ep: -113.0 | Epsilon: 0.5103 | Avg Score (100ep): 0.77 | Memory: 22723
Ep (Global): 1355/100000 (Sesión: 760) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.5078 | Avg Score (100ep): 0.83 | Memory: 22994
Ep (Global): 1365/100000 (Sesión: 770) | Steps: 50 | Score: 2 | Total Reward Ep: -110.0 | Epsilon: 0.5053 | Avg Score (100ep): 0.91 | Memory: 23277
Ep (Global): 1375/100000 (Sesión: 780) | Steps: 8 | Score: 1 | Total Reward Ep: -88.0 | Epsilon: 0.5027 | Avg Score (100ep): 0.95 | Memory: 23490
Ep (Global): 1385/100000 (Sesión: 790) | Steps: 17 | Score: 0 | Total Reward Ep: -67.0 | Epsilon: 0.5002 | Avg Score (100ep): 0.96 | Memory: 23739
Ep (Global): 1395/100000 (Sesión: 800) | Steps: 19 | Score: 1 | Total Reward Ep: -99.0 | Epsilon: 0.4977 | Avg Score (100ep): 1.01 | Memory: 23945
Ep (Global): 1405/100000 (Sesión: 810) | Steps: 26 | Score: 2 | Total Reward Ep: -86.0 | Epsilon: 0.4953 | Avg Score (100ep): 1.03 | Memory: 24180
Ep (Global): 1415/100000 (Sesión: 820) | Steps: 12 | Score: 0 | Total Reward Ep: -62.0 | Epsilon: 0.4928 | Avg Score (100ep): 1.04 | Memory: 24393
Ep (Global): 1425/100000 (Sesión: 830) | Steps: 20 | Score: 1 | Total Reward Ep: -50.0 | Epsilon: 0.4903 | Avg Score (100ep): 1.14 | Memory: 24632
Ep (Global): 1435/100000 (Sesión: 840) | Steps: 24 | Score: 1 | Total Reward Ep: -104.0 | Epsilon: 0.4879 | Avg Score (100ep): 1.14 | Memory: 24858
Ep (Global): 1445/100000 (Sesión: 850) | Steps: 7 | Score: 0 | Total Reward Ep: -57.0 | Epsilon: 0.4854 | Avg Score (100ep): 1.18 | Memory: 25057
Ep (Global): 1455/100000 (Sesión: 860) | Steps: 25 | Score: 1 | Total Reward Ep: -55.0 | Epsilon: 0.4830 | Avg Score (100ep): 1.29 | Memory: 25443
Ep (Global): 1465/100000 (Sesión: 870) | Steps: 22 | Score: 2 | Total Reward Ep: -82.0 | Epsilon: 0.4806 | Avg Score (100ep): 1.23 | Memory: 25642
Ep (Global): 1475/100000 (Sesión: 880) | Steps: 16 | Score: 1 | Total Reward Ep: -46.0 | Epsilon: 0.4782 | Avg Score (100ep): 1.28 | Memory: 25840
Ep (Global): 1485/100000 (Sesión: 890) | Steps: 18 | Score: 1 | Total Reward Ep: -48.0 | Epsilon: 0.4758 | Avg Score (100ep): 1.26 | Memory: 26016
Ep (Global): 1495/100000 (Sesión: 900) | Steps: 7 | Score: 0 | Total Reward Ep: -57.0 | Epsilon: 0.4735 | Avg Score (100ep): 1.27 | Memory: 26250
Modelo Keras guardado en trained_data/dqn_snake_checkpoint.keras
Checkpoint (modelo Keras y estado de entrenamiento) guardado en episodio 1500
