Ep: 1280/10000 | Steps: 12 | Score: 1 | Total Reward: -42.0 | Epsilon: 0.5272 | Avg Score (last 100): 1.00 | Memory: 21560
Ep: 1290/10000 | Steps: 34 | Score: 3 | Total Reward: -24.0 | Epsilon: 0.5246 | Avg Score (last 100): 0.98 | Memory: 21694
Ep: 1300/10000 | Steps: 16 | Score: 1 | Total Reward: -46.0 | Epsilon: 0.5220 | Avg Score (last 100): 0.96 | Memory: 21920
Ep: 1310/10000 | Steps: 38 | Score: 2 | Total Reward: -98.0 | Epsilon: 0.5194 | Avg Score (last 100): 0.98 | Memory: 22142
Ep: 1320/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.5168 | Avg Score (last 100): 0.90 | Memory: 22315
Ep: 1330/10000 | Steps: 13 | Score: 1 | Total Reward: -93.0 | Epsilon: 0.5142 | Avg Score (last 100): 0.84 | Memory: 22487
Ep: 1340/10000 | Steps: 22 | Score: 1 | Total Reward: -52.0 | Epsilon: 0.5116 | Avg Score (last 100): 0.99 | Memory: 22787
Ep: 1350/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.5091 | Avg Score (last 100): 0.98 | Memory: 22956
Ep: 1360/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.5065 | Avg Score (last 100): 0.88 | Memory: 23146
Ep: 1370/10000 | Steps: 15 | Score: 1 | Total Reward: -45.0 | Epsilon: 0.5040 | Avg Score (last 100): 0.89 | Memory: 23435
Ep: 1380/10000 | Steps: 13 | Score: 0 | Total Reward: -63.0 | Epsilon: 0.5015 | Avg Score (last 100): 0.98 | Memory: 23711
Ep: 1390/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.4990 | Avg Score (last 100): 1.02 | Memory: 23906
Ep: 1400/10000 | Steps: 11 | Score: 1 | Total Reward: -91.0 | Epsilon: 0.4965 | Avg Score (last 100): 1.06 | Memory: 24153
Ep: 1410/10000 | Steps: 48 | Score: 1 | Total Reward: -28.0 | Epsilon: 0.4940 | Avg Score (last 100): 1.08 | Memory: 24408
Ep: 1420/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.4916 | Avg Score (last 100): 1.12 | Memory: 24586
Ep: 1430/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.4891 | Avg Score (last 100): 1.09 | Memory: 24719
Ep: 1440/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.4867 | Avg Score (last 100): 0.99 | Memory: 24916
Ep: 1450/10000 | Steps: 3 | Score: 1 | Total Reward: -83.0 | Epsilon: 0.4842 | Avg Score (last 100): 1.07 | Memory: 25143
Ep: 1460/10000 | Steps: 29 | Score: 1 | Total Reward: -59.0 | Epsilon: 0.4818 | Avg Score (last 100): 1.15 | Memory: 25356
Ep: 1470/10000 | Steps: 43 | Score: 2 | Total Reward: -3.0 | Epsilon: 0.4794 | Avg Score (last 100): 1.17 | Memory: 25610
Ep: 1480/10000 | Steps: 38 | Score: 1 | Total Reward: -18.0 | Epsilon: 0.4770 | Avg Score (last 100): 1.15 | Memory: 25841
Ep: 1490/10000 | Steps: 61 | Score: 3 | Total Reward: -51.0 | Epsilon: 0.4746 | Avg Score (last 100): 1.13 | Memory: 26047
Ep: 1500/10000 | Steps: 57 | Score: 3 | Total Reward: -97.0 | Epsilon: 0.4723 | Avg Score (last 100): 1.18 | Memory: 26326
Pesos del modelo guardados en dqn_snake_headless_v4.weights.h5
Ep: 1510/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.4699 | Avg Score (last 100): 1.20 | Memory: 26581
Ep: 1520/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.4676 | Avg Score (last 100): 1.16 | Memory: 26708
Ep: 1530/10000 | Steps: 7 | Score: 0 | Total Reward: -57.0 | Epsilon: 0.4652 | Avg Score (last 100): 1.17 | Memory: 26951
Ep: 1540/10000 | Steps: 20 | Score: 0 | Total Reward: -70.0 | Epsilon: 0.4629 | Avg Score (last 100): 1.16 | Memory: 27109
Ep: 1550/10000 | Steps: 21 | Score: 1 | Total Reward: -51.0 | Epsilon: 0.4606 | Avg Score (last 100): 1.07 | Memory: 27263
Ep: 1560/10000 | Steps: 38 | Score: 1 | Total Reward: -118.0 | Epsilon: 0.4583 | Avg Score (last 100): 1.16 | Memory: 27596
Ep: 1570/10000 | Steps: 13 | Score: 0 | Total Reward: -63.0 | Epsilon: 0.4560 | Avg Score (last 100): 1.14 | Memory: 27857
Ep: 1580/10000 | Steps: 32 | Score: 3 | Total Reward: -22.0 | Epsilon: 0.4538 | Avg Score (last 100): 1.17 | Memory: 28103
Ep: 1590/10000 | Steps: 14 | Score: 1 | Total Reward: -44.0 | Epsilon: 0.4515 | Avg Score (last 100): 1.31 | Memory: 28435
Ep: 1600/10000 | Steps: 19 | Score: 1 | Total Reward: -49.0 | Epsilon: 0.4492 | Avg Score (last 100): 1.27 | Memory: 28665
Ep: 1610/10000 | Steps: 66 | Score: 5 | Total Reward: -16.0 | Epsilon: 0.4470 | Avg Score (last 100): 1.33 | Memory: 28968
Ep: 1620/10000 | Steps: 58 | Score: 4 | Total Reward: 22.0 | Epsilon: 0.4448 | Avg Score (last 100): 1.42 | Memory: 29229
Ep: 1630/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.4425 | Avg Score (last 100): 1.50 | Memory: 29451
Ep: 1640/10000 | Steps: 20 | Score: 0 | Total Reward: -70.0 | Epsilon: 0.4403 | Avg Score (last 100): 1.50 | Memory: 29617
Ep: 1650/10000 | Steps: 19 | Score: 0 | Total Reward: -69.0 | Epsilon: 0.4381 | Avg Score (last 100): 1.48 | Memory: 29765
Ep: 1660/10000 | Steps: 32 | Score: 2 | Total Reward: -42.0 | Epsilon: 0.4360 | Avg Score (last 100): 1.42 | Memory: 30009
Ep: 1670/10000 | Steps: 31 | Score: 2 | Total Reward: -41.0 | Epsilon: 0.4338 | Avg Score (last 100): 1.42 | Memory: 30261
Ep: 1680/10000 | Steps: 22 | Score: 1 | Total Reward: -102.0 | Epsilon: 0.4316 | Avg Score (last 100): 1.40 | Memory: 30554
Ep: 1690/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.4295 | Avg Score (last 100): 1.29 | Memory: 30794
Ep: 1700/10000 | Steps: 56 | Score: 5 | Total Reward: -56.0 | Epsilon: 0.4273 | Avg Score (last 100): 1.41 | Memory: 31154
Ep: 1710/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.4252 | Avg Score (last 100): 1.39 | Memory: 31428
Ep: 1720/10000 | Steps: 21 | Score: 2 | Total Reward: -31.0 | Epsilon: 0.4231 | Avg Score (last 100): 1.35 | Memory: 31598
Ep: 1730/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.4210 | Avg Score (last 100): 1.41 | Memory: 31923
Ep: 1740/10000 | Steps: 33 | Score: 3 | Total Reward: -23.0 | Epsilon: 0.4189 | Avg Score (last 100): 1.53 | Memory: 32194
Ep: 1750/10000 | Steps: 17 | Score: 1 | Total Reward: -97.0 | Epsilon: 0.4168 | Avg Score (last 100): 1.60 | Memory: 32386
Ep: 1760/10000 | Steps: 27 | Score: 3 | Total Reward: -67.0 | Epsilon: 0.4147 | Avg Score (last 100): 1.59 | Memory: 32563
Ep: 1770/10000 | Steps: 60 | Score: 2 | Total Reward: -70.0 | Epsilon: 0.4126 | Avg Score (last 100): 1.57 | Memory: 32826
